"","City","x","y"
"592","Belmopan",-88.76780303,17.24886364
"593","Belo Horizonte",-43.99141173,-19.88535189
"594","Belogorsk",128.49986559,50.90497312
"595","Bemidji",-94.89107143,47.4906746
"596","Ben Gardane",11.21185897,33.13151709
"597","Bend",-121.30153134,44.05537749
"598","Bendigo",144.27183333,-36.75627778
"599","Benevento",14.79288194,41.13350694
"600","Bengbu",117.39879284,33.28905153
"601","Bengkulu",102.29697917,-3.81375
"602","Beni",29.44256536,0.61488562
"603","Beni Mazar",30.75390443,28.54638694
"604","Beni Ounif",-1.2475,32.04916667
"605","Beni Suef",31.07655896,29.1045068
"606","Benin City",5.61757426,6.34979373
"607","Benoni",28.24555896,-26.1418372
"608","Bento Goncalves",-51.51532486,-29.15459039
"609","Benton Harbor",-86.46836667,42.07576666
"610","Benxi",123.77993119,41.31028287
"611","Berber",33.98416667,18.04083333
"612","Berbera",45.00972222,10.4375
"613","Berberati",15.79356061,4.24715909
"614","Berdyansk",36.79166667,46.76617647
"615","Berekum",-2.59194444,7.45416667
"616","Berezniki",56.79542683,59.42056233
"617","Bergamo",9.65133571,45.6680057
"618","Bergen",5.31952381,60.3668254
"619","Berkeley",-122.29918508,37.90570024
"620","Berlin",13.39085987,52.49974105
"621","Bermejo",-64.34,-22.7325
"622","Bern",7.45322682,46.95823935
"623","Berri",140.60083333,-34.28083334
"624","Bertoua",13.6875,4.57916667
"625","Besalampy",44.49166667,-16.74583334
"626","Besancon",6.00911458,47.24661458
"627","Betanzos",-65.45138889,-19.55138889
"628","Bethal",29.47430556,-26.45555555
"629","Bethanie",17.15416667,-26.49583334
"630","Bethel",-161.75465686,60.77916667
"631","Bethlehem",28.3125,-28.22598039
"632","Bezhetsk",36.7,57.78726852
"633","Beziers",3.24419642,43.34122024
"634","Bhagalpur",86.86200295,24.66805738
"635","Bharatpur",77.4272854,27.40759009
"636","Bhatpara",88.49760994,22.86326007
"637","Bhavnagar",72.12672872,21.74033688
"638","Bhilwara",74.63094363,25.34889706
"639","Bhisho",27.36592376,-32.86443798
"640","Bhiwandi",73.0828317,19.34056204
"641","Bhiwani",76.02339472,28.49476063
"642","Bhopal",77.44012238,23.22924437
"643","Bhubaneshwar",85.5718176,20.20417447
"644","Bhusawal",75.68944497,21.03299336
"645","Biak",136.08921569,-1.17671569
"646","Bialystok",23.15534254,53.13167178
"647","Biarritz",-1.51875978,43.48276604
"648","Bicheno",148.29583334,-41.87916666
